"'Allowance' column title","'ค่าเผื่อ' ชื่อคอลัมน์"
"Label width","ความกว้างของฉลาก"
"Layout template","แม่แบบเค้าโครง"
"License","การอนุญาต"
"License Key","คีย์ใบอนุญาต"
"Line above fixed footer image?","สายเหนือภาพท้ายถาวร?"
"Line widths","ความกว้างของเส้น"
"Lock image to page base?","ล็อคภาพไปยังฐานหน้า?"
"Logo position","ตำแหน่งโลโก้"
"Low-res","ความละเอียดต่ำ"
"Magento Order ID","วีโอไอพีรหัสการสั่งซื้อ"
"Main Image","ภาพหลัก"
"Makes gift orders a bit happier-looking by adding a special image on the message box.","ทำให้คำสั่งซื้อของที่ระลึกบิตมีความสุขมองโดยการเพิ่มภาพพิเศษในกล่องข้อความ"
"Manual description 1","คำอธิบายคู่มือการใช้งาน 1"
"Margin (from right)","อัตรากำไรขั้นต้น (จากขวา)"
"Margin (from right) for flat-address","อัตรากำไรขั้นต้น (จากขวา) สำหรับแบนอยู่"
"Marketplace Order ID","ตลาดรหัสการสั่งซื้อ"
"Match shipping description :","ตรงกับคำอธิบายการจัดส่ง:"
"Match text:","ข้อความที่แข่งขัน:"
"Max address width (pt)","แม็กซ์กว้างอยู่ (PT)"
"Max dimensions","ขนาดแม็กซ์"
"Max weight per box","แม็กซ์น้ำหนักต่อกล่อง"
"Max width","ความกว้างสูงสุด"
"Messages","ข้อความ"
"Middle of page","ตรงกลางของหน้า"
"Min. weight to hide shipment method and put 'Pallet'","นาที. น้ำหนักที่จะซ่อนวิธีการจัดส่งและนำ 'พาเลท'"
"Minimum stock qty","จำนวนหุ้นขั้นต่ำ"
"Moogento","Moogento"
"Moogento pickPack","Moogento pickPack"
"Moogento pickPack : CSV (Order-combined Products)","Moogento pickPack: CSV (สินค้าสั่งซื้อรวมกัน)"
"Moogento pickPack : CSV (Order-separated Products)","Moogento pickPack: CSV (สั่งแยก Products)"
"Moogento pickPack : CSV (Orders)","Moogento pickPack: CSV (คำสั่งซื้อ)"
"Moogento pickPack : CSV/XML (Cargo Manifest)","Moogento pickPack: CSV / XML (Cargo Manifest)"
"Moogento pickPack : PDF (Address Labels)","Moogento pickPack: PDF (ป้ายชื่อที่อยู่)"
"Moogento pickPack : PDF (CN22 Labels)","Moogento pickPack: PDF (CN22 ฉลาก)"
"Moogento pickPack : PDF (Gift Message)","Moogento pickPack: PDF (ของขวัญข้อความ)"
"Moogento pickPack : PDF (Invoice and Packing Sheet)","Moogento pickPack: PDF (ใบแจ้งหนี้และแผ่นบรรจุ)"
"Moogento pickPack : PDF (Invoice)","Moogento pickPack: PDF (ใบแจ้งหนี้)"
"Moogento pickPack : PDF (Order-combined Picklist)","Moogento pickPack: PDF (คำสั่งซื้อรวม picklist)"
"Moogento pickPack : PDF (Order-separated Picklist)","Moogento pickPack: รูปแบบไฟล์ PDF (สั่งแยก picklist)"
"Moogento pickPack : PDF (Orders Summary)","Moogento pickPack: PDF (คำสั่งซื้อสรุป)"
"Moogento pickPack : PDF (Packing Sheet)","Moogento pickPack: PDF (บรรจุแผ่น)"
"Moogento pickPack : PDF (Product-separated Picklist)","Moogento pickPack: PDF (Product-แยก picklist)"
"Moogento pickPack : PDF (Troylleybox Picklist)","Moogento pickPack: PDF (Troylleybox picklist)"
"Moogento pickPack : PDF (Zebra Labels)","Moogento pickPack: PDF (ม้าลายฉลาก)"
"Moogento pickPack : PDF/CSV (Out-of-stock List)","Moogento pickPack: PDF / CSV (ออกจากสต็อกรายการ)"
"Multiplier Attribute","แอตทริบิวต์คูณ"
"Multiplies product price by set multiplication factor. Eg. use to show product price limit for substitutions in pick","ราคาสินค้าคูณชุดปัจจัยคูณ เช่น. ใช้ในการแสดงวงเงินราคาสินค้าแทนในการเลือก"
"Multiplies product price by set multiplication factor.<br />Eg. use to show product price limit for substitutions in pick","ราคาสินค้าคูณโดยปัจจัยชุดคูณ. <br /> เช่น ใช้ในการแสดงวงเงินราคาสินค้าแทนในการเลือก"
"Multiply prices by attribute?","คูณราคาแอตทริบิวต์?"
"Name from Order","ชื่อจากการสั่งซื้อสินค้า"
"Name from Product > Default Store","จากชื่อสินค้า> เริ่มต้นร้าน"
"Name from Product > Order Store *Default*","จากชื่อสินค้า> ร้านค้าสั่งซื้อ * * * * * * * * เริ่มต้น"
"Name from Product > Specific Store","จากชื่อสินค้า> ร้านค้าเฉพาะ"
"New page per order?","หน้าใหม่ต่อการสั่งซื้อ?"
"New PDF per name?","รูปแบบไฟล์ PDF ใหม่ต่อชื่อ?"
"No","ไม่"
"No (default)","ไม่มี (เริ่มต้น)"
"No of Items per page","ไม่มีรายการต่อหน้า"
"No, include all items in order","ไม่รวมรายการทั้งหมดในการสั่งซื้อ"
"No, include it in the product price","ไม่รวมอยู่ในราคาสินค้า"
"No, include it in the product price (but also show a tax subtotal summary)","ไม่รวมอยู่ในราคาสินค้า ( แต่ยังแสดงให้เห็นสรุปผลรวมย่อยภาษี)"
"No, move other items to new line (+ keep linebreaks)","ไม่ย้ายรายการอื่น ๆ เพื่อขึ้นบรรทัดใหม่ (+ ให้ขึ้นบรรทัดใหม่)"
"No, without Tax","ไม่มี, ไม่เสียภาษี"
"None","ไม่มี"
"Normal' Dimensions:  269<b style="color:red;">pt</b> x 41<b style="color:red;">pt</b> @ 300dpi<br />","ปกติ 'ขนาด: 269 <b style = "สี: สีแดง;"> <style B = "สี: สีแดง;"> PT </ b> x 41 PT </ b> @ 300dpi <br />"
"Not recommended... Use at your own risk...","ไม่แนะนำให้ใช้ ... ใช้ที่มีความเสี่ยงของคุณเอง ..."
"Nudge","ดุน"
"Nudge 'Packed 2 by' note","เขยิบ 'บรรจุ 2 โดย' โน้ต"
"Nudge 'Packed by' text","เขยิบ 'บรรจุโดย' ข้อความ"
"Nudge <b>autoCN22</b> label","เขยิบ <b> autoCN22 </ b> ฉลาก"
"Nudge 2nd address","เขยิบอยู่ที่ 2"
"Nudge 2nd barcode","เขยิบบาร์โค้ด 2"
"Nudge 2nd custom title","เขยิบชื่อที่กำหนดเอง 2"
"Nudge 2nd image","เขยิบภาพที่ 2"
"Nudge address","ที่อยู่เขยิบ"
"Nudge background image","ภาพพื้นหลังดุน"
"Nudge barcode","เขยิบบาร์โค้ด"
"Nudge CN22 label","เขยิบฉลาก CN22"
"Nudge company address","ที่อยู่ของ บริษัท ดุน"
"Nudge details","เขยิบรายละเอียด"
"Nudge entire label","เขยิบป้ายทั้งหมด"
"Nudge fixed image","เขยิบภาพคงที่"
"Nudge flat-address","เขยิบแบนอยู่"
"Nudge gift message","ข้อความที่ระลึกดุน"
"Nudge image","ภาพดุน"
"Nudge label image","ภาพป้ายดุน"
"Nudge logo","โลโก้ดุน"
"Nudge Order ID","เขยิบรหัสการสั่งซื้อ"
"Nudge Order ID barcode","เขยิบบาร์โค้ดรหัสคำสั่งซื้อ"
"Nudge order notes","เขยิบบันทึกการสั่งซื้อ"
"Nudge product line","สายผลิตภัณฑ์ดุน"
"Nudge qr-code (1)","เขยิบ QR-Code (1)"
"Nudge qr-code (2)","เขยิบรหัส QR (2)"
"Nudge return address","ที่อยู่ผู้ส่งดุน"
"Nudge return label","ฉลากผลตอบแทนดุน"
"Nudge Rotated Product List","เขยิบรายการหมุนสินค้า"
"Nudge shelving","เขยิบเก็บเข้าลิ้นชัก"
"Nudge shipping address","เขยิบที่อยู่จัดส่ง"
"Nudge shipping address only","เขยิบที่อยู่จัดส่งเท่านั้น"
"Nudge supplier attribute","แอตทริบิวต์ผู้จัดจำหน่ายดุน"
"Nudge title","เขยิบชื่อ"
"Nudge tracking barcode","เขยิบติดตามบาร์โค้ด"
"Nudge tracking number","เขยิบหมายเลขการติดตาม"
"Nudge Zipcode barcode","เขยิบบาร์โค้ดรหัสไปรษณีย์"
"Nudge' Packed by' note","เขยิบ 'บรรจุโดย' หมายเหตุ"
"Number product list?","รายการสินค้าจำนวน?"
"Only print once?","เพียงพิมพ์ครั้ง?"
"Only process orders matching shipEasy attribute?","เพียงสั่งซื้อขั้นตอนการจับคู่ shipEasy แอตทริบิวต์?"
"Operand?","ถูกดำเนินการ?"
"Order Attribute","แอตทริบิวต์การสั่งซื้อสินค้า"
"Order attribute code","รหัสแอตทริบิวต์การสั่งซื้อสินค้า"
"Order attribute code:","รหัสแอตทริบิวต์สั่งซื้อ:"
"Order Attribute Value","การสั่งซื้อสินค้าค่าแอตทริบิวต์"
"Order Comments","สั่งซื้อความคิดเห็น"
"Order custom attribute?","สั่งซื้อแอตทริบิวต์ที่กำหนดเอง?"
"Order date","วันสั่ง"
"Order date X-pos.","วันที่สั่งซื้อ X-POS"
"Order Date?","วันสั่ง?"
"Order ID (Footer) X-pos.","รหัสการสั่งซื้อ (ส่วนท้าย) X-POS"
"Order ID X-pos.","รหัสคำสั่งซื้อ X-POS"
"Order ID?","รหัสการสั่งซื้อ?"
"Order of subtotals","คำสั่งของผลรวมย่อย"
"Order Source","แหล่งที่มาของการสั่งซื้อสินค้า"
"Order Source?","สั่งซื้อมา?"
"Order-combined Pick List Options","การสั่งซื้อรวมรายการตัวเลือกเลือก"
"Order-separated Pick List Options","สั่งซื้อแยกตัวเลือกรายการเลือก"
"Orders with In Stock Items Only","คำสั่งซื้อที่มีรายการในร้านค้าเฉพาะ"
"Others?","คนอื่น ๆ ?"
"Output as PDF or CSV?","ออกเป็น PDF หรือ CSV?"
"Output Excel XML file (instead of CSV)","การส่งออก Excel ไฟล์ XML (แทน CSV)"
"Output Filenames","ชื่อไฟล์เอาท์พุท"
"Output only these suppliers (Hide/Grey-out others)","สัญญาณออกเท่านั้นซัพพลายเออร์เหล่านี้ (ซ่อน / สีเทาออกอื่น ๆ )"
"Output only this supplier (Hide/Grey-out others) . . . Leave blank to auto-split all suppliers","การส่งออกเพียงผู้จัดหาสินค้านี้ (ซ่อน / สีเทาออกอื่น ๆ ) . . เว้นว่างไว้เพื่ออัตโนมัติแยกซัพพลายเออร์ทั้งหมด"
"Override 'Minimum stock qty'","แทนที่ 'จำนวนหุ้นขั้นต่ำ'"
"Override default address formatting?","แทนที่การจัดรูปแบบที่อยู่เริ่มต้น?"
"Override default address layout?","แทนที่รูปแบบที่อยู่เริ่มต้น?"
"Override filter notes messages","กรองแทนที่บันทึกข้อความ"
"Override stock qty output with location-specific stock?","แทนที่การส่งออกจำนวนหุ้นที่มีหุ้นเฉพาะสถานที่?"
"Override' Minimum stock qty'","แทนที่ 'จำนวนหุ้นขั้นต่ำ'"
"Packing  Sheet Products : Separating Vertical Line Color","บรรจุผลิตภัณฑ์แผ่น: แยกแนวตั้ง Color Line"
"Packing Sheet Options","ตัวเลือกการบรรจุแผ่น"
"Packing Sheet Products : Separating Line Color","บรรจุผลิตภัณฑ์แผ่น: แยก Color Line"
"Packing Sheet Products : Separating Vertical Line Color","บรรจุผลิตภัณฑ์แผ่น: แยกแนวตั้ง Color Line"
"Padding","การขยายความ"
"Page 1 Product-lines cutoff Y-pos","หน้า 1 สินค้าเส้นตัด Y-POS"
"Page 1 products cutoff position","หน้า 1 ผลิตภัณฑ์ตำแหน่งทางลัด"
"Page Body : Color","หน้าบอดี้: สี"
"Page Body : Font","บอดี้หน้า: ตัวอักษร"
"Page Body : Size","บอดี้หน้า: ขนาด"
"Page Body : Style","บอดี้เพจ: สไตล์"
"Page padding","หน้า padding"
"page padding","padding หน้า"
"Page size","ขนาดหน้า"
"Page template :","แม่แบบหน้า:"
"Page title : Color","ชื่อหน้า: สี"
"Page title : Font","ชื่อหน้า: ตัวอักษร"
"Page title : Size","ชื่อหน้า: ขนาด"
"Page title : Style","ชื่อเพจ: สไตล์"
"Paid Date","วันที่ชำระเงิน"
"Paid Date?","ชำระเงินวันที่?"
"Pallet 'go' weight","พาเลท 'ไป' น้ำหนัก"
"Pallet' go' weight","พาเลท 'ไป' น้ำหนัก"
"Paper height","ความสูงของกระดาษ"
"Paper margins","อัตรากำไรขั้นต้นกระดาษ"
"Partially: lines top & bottom","บางส่วน: เส้นด้านบนและด้านล่าง"
"Pattern text","ข้อความแบบ"
"Pattern to match :","เพื่อให้ตรงกับรูปแบบ:"
"Payment","การชำระเงิน"
"Payment method?","วิธีการชำระเงิน?"
"PDF (Address Labels)","PDF (ป้ายชื่อที่อยู่)"
"PDF (Address Labels)?","PDF (ป้ายชื่อที่อยู่)?"
"PDF (CN22 Labels)","PDF (CN22 ฉลาก)"
"PDF (CN22 Labels)?","PDF (ฉลาก CN22)?"
"PDF (Gift Message)","PDF (ของขวัญข้อความ)"
"PDF (Gift Message)?","PDF (ของขวัญข้อความ)?"
"PDF (Invoice & Packing Sheet)","PDF (ใบแจ้งหนี้ & แผ่นบรรจุ)"
"PDF (Invoice and Packing Sheet)?","PDF (ใบแจ้งหนี้และแผ่นบรรจุ)?"
"PDF (Invoice)","PDF (ใบแจ้งหนี้)"
"PDF (Invoice)?","PDF (ใบแจ้งหนี้)?"
"PDF (Order-combined Picklist)","PDF (คำสั่งซื้อรวม picklist)"
"PDF (Order-combined Picklist)?","PDF (คำสั่งซื้อรวม picklist)?"
"PDF (Order-separated Picklist)","รูปแบบไฟล์ PDF (สั่งแยก picklist)"
"PDF (Order-separated Picklist)?","รูปแบบไฟล์ PDF (สั่งแยก picklist)?"
"PDF (Orders Summary)","PDF (คำสั่งซื้อสรุป)"
"PDF (Orders Summary)?","PDF (คำสั่งซื้อสรุป)?"
"PDF (Out-of-stock List)","PDF (ออกจากสต็อกรายการ)"
"PDF (Out-of-stock List)?","PDF (ออกจากสต็อกรายการ)?"
"PDF (Packing Sheet)","PDF (แผ่นบรรจุ)"
"PDF (Packing Sheet)?","PDF (บรรจุแผ่น)?"
"PDF (Product-separated Picklist)","PDF (Product-แยก picklist)"
"PDF (Product-separated Picklist)?","PDF (Product-แยก picklist)?"
"PDF (Trolleybox Picklist)","PDF (Trolleybox picklist)"
"PDF (Trolleybox Picklist)?","PDF (Trolleybox picklist)?"
"PDF (Zebra Labels)","PDF (ม้าลายฉลาก)"
"PDF (Zebra Labels)?","PDF (ฉลากม้าลาย)?"
"PDF Address-label Sheet","รูปแบบไฟล์ PDF แผ่นป้ายที่อยู่"
"PDF Gift Message","ข้อความ PDF ของขวัญ"
"PDF Invoice","รูปแบบไฟล์ PDF ใบแจ้งหนี้"
"PDF Invoice &amp; Packing Sheet' Sort","รูปแบบไฟล์ PDF ใบแจ้งหนี้ & amp; บรรจุแผ่น 'เรียง"
"PDF Letter","จดหมายรูปแบบไฟล์ PDF"
"PDF Order-combined Picklist","รูปแบบไฟล์ PDF การสั่งซื้อรวม picklist"
"PDF Order-separated Picklist","รูปแบบไฟล์ PDF สั่งซื้อแยก picklist"
"PDF Orders Summary","สั่งซื้อรูปแบบไฟล์ PDF อย่างย่อ"
"PDF Packing Sheet","แผ่นบรรจุในรูปแบบ PDF"
"PDF Packing Sheet + Invoice","รูปแบบไฟล์ PDF บรรจุแผ่น + ใบแจ้งหนี้"
"PDF page size","ขนาดหน้า PDF"
"PDF Product-separated Picklist","PDF สินค้าแยก picklist"
"PDF Zebra Label","รูปแบบไฟล์ PDF ม้าลายฉลาก"
"PDF/CSV (Out-of-stock List)","PDF / CSV (ออกจากสต็อกรายการ)"
"PDF/CSV Out-of-stock List","PDF / CSV ออกจากสต็อกรายการ"
"PDF/CSV Out-of-stock List Options","PDF / CSV ออกจากสต็อกรายการตัวเลือก"
"Pick Lists only","เลือกรายการเท่านั้น"
"pickPack","pickPack"
"pickPack Validation Key","pickPack การตรวจสอบที่สำคัญ"
"Pickup Date","วันที่รถกระบะ"
"Pickup Store Address","ที่อยู่เก็บรถกระบะ"
"Pickup Store Email","เก็บรถกระบะอีเมล์"
"Pickup Store ID","ID เก็บรถกระบะ"
"Pickup Store Phone","โทรศัพท์เก็บรถกระบะ"
"Pickup Time","เวลารถกระบะ"
"Position","ตำแหน่ง"
"Position custom text box","ตำแหน่งกล่องข้อความที่กำหนดเอง"
"Position of custom attributes","ตำแหน่งของแอตทริบิวต์ที่กำหนดเอง"
"Position of notes :","ตำแหน่งของบันทึก:"
"Position of shelving info","ตำแหน่งของข้อมูลที่เก็บเข้าลิ้นชัก"
"Position the addresses exactly - for integrated labels","ตำแหน่งที่อยู่ตรง - สำหรับป้ายชื่อแบบบูรณาการ"
"Position the message box exactly","ตำแหน่งกล่องข้อความว่า"
"Positionable box position","ตำแหน่งกล่อง positionable"
"Pre-cells","Pre-เซลล์"
"Price column title","ชื่อคอลัมน์ราคา"
"Price position","ตำแหน่งราคา"
"Price X-pos.","ราคา X-POS"
"Prices","ราคา"
"Prices converted from","ราคาดัดแปลงมาจาก"
"Print All?","พิมพ์ทั้งหมด?"
"Print barcode in separate line?","บาร์โค้ดพิมพ์ในบรรทัดที่แยกต่างหาก?"
"Print Condition","สภาพพิมพ์"
"Print Credit Memos?","พิมพ์บันทึกเครดิต?"
"Print Invoices?","พิมพ์ใบแจ้งหนี้?"
"Print orders once only?","คำสั่งพิมพ์ครั้งเดียวเท่านั้น?"
"Print Packingslips?","พิมพ์ Packingslips?"
"Print products label after address label?","ฉลากผลิตภัณฑ์ด้านการพิมพ์ฉลากหลังจากอยู่?"
"Print resolution","ความละเอียดการพิมพ์"
"Print Shipping Labels?","พิมพ์ฉลากการจัดส่งสินค้า?"
"Print supplier attribute?","ผู้จัดจำหน่ายพิมพ์แอตทริบิวต์?"
"Priority of custom attribute grouping","ลำดับความสำคัญของการจัดกลุ่มแอตทริบิวต์ที่กำหนดเอง"
"Process date?","วันที่กระบวนการ?"
"Process orders that include out-of-stock items?","คำสั่งกระบวนการที่รวมรายการออกจากสต็อก?"
"Processing schedule","ตารางเวลาการประมวลผล"
"Product Category Label","ประเภทสินค้าฉลาก"
"Product discount title","ชื่อส่วนลดสินค้า"
"Product discount title?","ชื่อส่วนลดสินค้า?"
"Product gift message xpos","xpos ข้อความที่ระลึกสินค้า"
"Product id below barcode font-size","รหัสสินค้าบาร์โค้ดด้านล่าง font-size"
"Product images?","ภาพสินค้า?"
"Product line nudge","ดุนสายผลิตภัณฑ์"
"Product line total title","สายผลิตภัณฑ์ชื่อทั้งหมด"
"Product line total title?","สายผลิตภัณฑ์ชื่อทั้งหมด?"
"Product list sort direction :","สินค้าทิศทางรายการเรียงลำดับตาม:"
"Product list titlebar padding bot","รายการสินค้าบอ titlebar padding"
"Product list titlebar padding top","รายการสินค้าด้านบน titlebar padding"
"Product Name","ชื่อผลิตภัณฑ์"
"Product name position","ตำแหน่งชื่อสินค้า"
"Product name X-pos.","ชื่อสินค้า X-POS"
"Product name?","ชื่อผลิตภัณฑ์?"
"Product names or attributes contain non-roman characters?","ชื่อผลิตภัณฑ์หรือแอตทริบิวต์ประกอบด้วยอักขระที่ไม่ใช่โรมัน?"
"Product Options : Size","สินค้าตัวเลือก: ขนาด"
"Product options?","ตัวเลือกสินค้า?"
"Product Price x","ราคาสินค้า X"
"Product SKU barcode?","สินค้ารหัสสินค้าบาร์โค้ด?"
"Product SKU below barcode font-size","รหัสสินค้าบาร์โค้ดด้านล่าง font-size"
"Product SKU below barcode?","รหัสสินค้าด้านล่างบาร์โค้ด?"
"Product weight?","น้ำหนักสินค้า?"
"Product-price Multiplier","คูณราคาสินค้า"
"Pull from custom attribute","ดึงจากแอตทริบิวต์ที่กำหนดเอง"
"Purchase order #?","ใบสั่งซื้อ #?"
"Put in separate column","ใส่ในคอลัมน์ที่แยกต่างหาก"
"Puts in total weight, shipping carrier, payment method","ทำให้น้ำหนัก, บริการจัดส่งสินค้าวิธีการชำระเงินทั้งหมด"
"q(Qty left to ship), s(Qty shipped), o(Qty ordered)","Q (จำนวนที่เหลือจะจัดส่ง), S (จำนวนการจัดส่ง) O (จำนวนสั่งซื้อ)"
"Qty column title","ชื่อคอลัมน์จำนวน"
"Qty invoiced","จำนวนใบแจ้งหนี้"
"Qty left to ship","จำนวนที่เหลือจะจัดส่ง"
"Qty X-pos.","จำนวน X-POS"
"Quote all values in CSV exports?","อ้างค่าทั้งหมดในการส่งออก CSV?"
"Recalculate","คำนวณ"
"Recommend for long SKU","ขอแนะนำให้นาน SKU"
"Reformat address?","ฟอร์แมตอยู่?"
"Reformat?","ฟอร์แมต?"
"Regular","ปกติ"
"Remove accents from letters in address?","นำสำเนียงจากตัวอักษรที่อยู่ใน?"
"Remove product tax from subtotal?","นำภาษีสินค้าจากผลรวมย่อย?"
"Remove shipping tax from","นำภาษีจากการจัดส่งสินค้า"
"Remove shipping tax from subtotal?","นำภาษีที่จัดส่งจากผลรวมย่อย?"
"Remove shipping tax from tax","นำภาษีที่จัดส่งจากภาษี"
"Repeat gift message?","ข้อความที่ระลึกทำซ้ำ?"
"Replace Default ERP Invoice with pickPacks?","เปลี่ยนค่าเริ่มต้นใบแจ้งหนี้ ERP กับ pickPacks?"
"Replace Default ERP Packing Sheet with the one from pickPack?","แทนที่เริ่มต้น ERP แผ่นบรรจุกับหนึ่งจาก pickPack หรือไม่"
"Reset","รีเซ็ต"
"Return address","ที่อยู่ผู้ส่ง"
"return address - Default","ที่อยู่ผู้ส่ง - เริ่มต้น"
"return address - Group 1","ที่อยู่ผู้ส่ง - กลุ่มที่ 1"
"return address - Group 2","ที่อยู่ผู้ส่ง - กลุ่มที่ 2"
"return address - Group 3","ที่อยู่ผู้ส่ง - กลุ่มที่ 3"
"Return Address Label : Color","กลับมาอยู่ป้ายชื่อ: สี"
"Return Address Label : Font","กลับมาอยู่ป้ายชื่อ: ตัวอักษร"
"Return Address Label : Size","ป้ายชื่อที่อยู่ผู้ส่ง: ขนาด"
"Return Address Label : Style","กลับมาอยู่ป้ายชื่อ: สไตล์"
"Return address text","ข้อความที่อยู่ผู้ส่ง"
"Right","ขวา"
"Right Margin X","Margin ขวา X"
"Rotate <b>autoCN22</b> page?","หมุน <b> autoCN22 </ b> หน้า?"
"Rotate entire label?","หมุนป้ายทั้งหมด?"
"Rotate label?","หมุน Label?"
"Rotate Product list","รายการสินค้าหมุน"
"Rotate return address?","หมุนกลับมาอยู่?"
"Rotate?","หมุน?"
"Round cost by ? decimal places","ค่าใช้จ่ายรอบด้วย? ตำแหน่งทศนิยม"
"Round custom attribute numbers?","หมายเลขแอตทริบิวต์ที่กำหนดเองรอบ?"
"Round weight by ? decimal places","น้ำหนักรอบด้วย? ตำแหน่งทศนิยม"
"Rounding to 2 decimals can work well for price display.<br /><i>Default: No</i>","ปัดเศษทศนิยม 2 สามารถทำงานได้ดีสำหรับการแสดงผลราคา <br /> <i> เริ่มต้น: no. </ i>"
"Rule 1?","กฎข้อที่ 1?"
"Rule 2?","กฎข้อที่ 2?"
"Rules are processed in order from low to high priority numbers.<br/>","กฎมีการประมวลผลในการสั่งซื้อจากต่ำไปหมายเลขลำดับความสำคัญสูง. <br/>"
"Scale Shipping Labels","ป้ายกำกับมาตราส่วนการจัดส่งสินค้า"
"Seeing tofu : <b style="font-size:200%;font-weight:100;display:inline;position:relative;top:5px;">&#9647;</b>?","เห็นเต้าหู้: <สไตล์ B = "font-size: 200%; font-weight: 100 แสดง: อินไลน์; ตำแหน่ง: ญาติ; ด้านบน: 5px;"> & # 9647; </ b>"
"Select Order Attribute To Update","เลือกคำสั่งซื้อแอตทริบิวต์การปรับปรุง"
"Separate multiple matches by comma.'","การแข่งขันหลายเฉพาะกิจด้วยเครื่องหมายจุลภาค."
"Seperator 1?","คั่น 1?"
"Seperator 2?","คั่น 2?"
"Server Name","ชื่อเซิร์ฟเวอร์"
"Set in 'Shipping Labels' section","ตั้งอยู่ในส่วน "การจัดส่งสินค้าฉลาก '"
"Set in 'Shipping Labels' section<br />Enable this to show eg. Royal Mail PPI labels","ตั้งอยู่ใน 'การจัดส่งสินค้าฉลาก' <br /> ส่ว​​นการเปิดใช้งานนี้เพื่อแสดงเช่น ป้ายรอยัลเมล์ PPI"
"Set Internal Printed Flag?","ตั้งภายในพิมพ์ธง?"
"Set the currency symbol","ตั้งค่าสัญลักษณ์สกุลเงิน"
"Set to Low to keep filesize low (but background image blurred), set to High to get a sharp background (and larger filesize)","ตั้งค่าให้ต่ำเพื่อให้ต่ำขนาดไฟล์ ( แต่ภาพพื้นหลังเบลอ) กำหนดให้สูงเพื่อให้ได้พื้นหลังคมชัด (และขนาดไฟล์ขนาดใหญ่)"
"Settings File","การตั้งค่าไฟล์"
"Shelving attribute","เก็บเข้าลิ้นชักแอตทริบิวต์"
"Shelving position","ชั้นวางตำแหน่ง"
"Shelving Xpos","ชั้นวาง Xpos"
"Shift Bundle Children Xpos","เปลี่ยน Bundle เด็ก Xpos"
"Ship Date","วันที่จัดส่ง"
"shipEasy Connection","การเชื่อมต่อ shipEasy"
"shipEasy Connection","การเชื่อมต่อ shipEasy"
"shipEasy flag column #","shipEasy คอลัมน์ธง #"
"shipEasy flag value?","ค่าธง shipEasy?"
"Shipping Address","ที่อยู่จัดส่ง"
"Shipping address padding","การจัดส่งสินค้าที่อยู่ padding"
"Shipping address phone?","การจัดส่งสินค้าที่อยู่โทรศัพท์?"
"Shipping address title","ชื่อที่อยู่จัดส่ง"
"Shipping Date?","การจัดส่งสินค้าวันที่?"
"Shipping Image #1","การจัดส่งสินค้าภาพ # 1"
"Shipping Image #2","การจัดส่งสินค้าภาพ # 2"
"Shipping Image #3","การจัดส่งสินค้าภาพ # 3"
"Shipping Labels","การจัดส่งป้าย"
"Shipping Method (Default)","วิธีการจัดส่ง (Default)"
"Shipping method?","วิธีการจัดส่งสินค้า?"
"Shipping options?","ตัวเลือกการจัดส่งสินค้า?"
"Shipping Type","ประเภทการจัดส่งสินค้า"
"Shipping/Billing Title : Style","ชื่อเรื่องการจัดส่งสินค้า / การเรียกเก็บเงิน: สไตล์"
"Shipping/Billing title position","การจัดส่งสินค้า / การเรียกเก็บเงินชื่อตำแหน่งงาน"
"Show","แสดง"
"Show 'Allowance'?","แสดง 'ค่าเผื่อ'?"
"Show 'Message B' for this group :","แสดง 'ข้อความ B' สำหรับกลุ่มนี้:"
"Show 'Message B' for this group :","แสดง 'ข้อความ B' สำหรับกลุ่มนี้:"
"Show 'Packed 2 by' note?","แสดง 'บรรจุ 2 โดย' ทราบ?"
"Show 'Packed by' note?","แสดง 'บรรจุโดย' ทราบ?"
"Show 'Packed by' note?","แสดง 'บรรจุโดย' ทราบ?"
"Show 'total item count'?","แสดง 'นับรวมรายการ'?"
"Show 'total order count'?","แสดง 'นับรวมการสั่งซื้อ'?"
"Show 'total paid'?","แสดง 'ทั้งหมดที่จ่าย'?"
"Show 'total shipping paid'?","แสดง 'การจัดส่งสินค้าทั้งหมดที่จ่าย'?"
"Show 'Total Taxed Product Value'?","แสดง 'รวมหักภาษีค่าผลิตภัณฑ์'?"
"Show 'Total UnTaxed Product Value'?","แสดง 'รวมทั้งสิ้นไม่ต้องเสียภาษีค่าผลิตภัณฑ์'?"
"Show #Order or #Invoice","แสดง #Order หรือ #Invoice"
"Show 0 qty items?","แสดง 0 จำนวนรายการ?"
"Show 2nd attribute?","แสดงแอตทริบิวต์ที่ 2?"
"Show 2nd order custom attribute?","แสดงแอตทริบิวต์ที่กำหนดเอง 2 คำสั่ง?"
"Show 2nd Order ID?","แสดงรหัสการสั่งซื้อครั้งที่ 2?"
"Show 2nd qrcode?","แสดง QRCode 2?"
"Show 2nd?","แสดง 2?"
"Show 3rd attribute?","แสดงแอตทริบิวต์ที่ 3?"
"Show address in product label?","แสดงที่อยู่ในฉลากของผลิตภัณฑ์?"
"Show advanced options?","แสดงตัวเลือกขั้นสูง?"
"Show Aitoc Checkout Fields?","แสดง Aitoc ทุ่งกร้า?"
"Show Amasty Order Attributes?","แสดง Amasty สั่งซื้อคุณสมบัติ?"
"Show Amasty order delivery date?","แสดงวันที่ส่งคำสั่ง Amasty?"
"Show another attribute?","แสดงแอตทริบิวต์อื่นได้หรือไม่"
